breaktype;code;datetime;givenanswer;question;time;vpid;cid
images;LSAVJB;2016-07-05T11:21:19+02:00;5;frozenlake;25247;85;LSAVJB
images;LSAVJB;2016-07-05T11:21:25+02:00;NA;NA;31734;85;LSAVJB
calculations;FHFQCN;2016-07-05T14:53:19+05:30;2;3 - 1 = ?;12681;90;FHFQCN
images;OOLGVK;2016-07-05T05:23:20-04:00;9;nightlyforest;4520;84;OOLGVK
images;OOLGVK;2016-07-05T05:23:26-04:00;NA;NA;10173;84;OOLGVK
calculations;FHFQCN;2016-07-05T14:53:28+05:30;NA;NA;22025;90;FHFQCN
default;XWKPYB;2016-07-05T14:53:55+05:30;NA;NA;8550;73;XWKPYB
images;NZFTZX;2016-07-05T04:24:12-05:00;9;mountain;19455;81;NZFTZX
default;SJSNCL;2016-07-05T02:25:45-07:00;NA;NA;12973;75;SJSNCL
calculations;FHFQCN;2016-07-05T14:56:33+05:30;3;8 - 5 = ?;9982;90;FHFQCN
calculations;FHFQCN;2016-07-05T14:56:36+05:30;NA;NA;12349;90;FHFQCN
default;XWKPYB;2016-07-05T14:57:12+05:30;NA;NA;2902;73;XWKPYB
images;WFGTIP;2016-07-05T14:57:12+05:30;9;frozenlake;7471;59;WFGTIP
images;WFGTIP;2016-07-05T14:57:14+05:30;NA;NA;10119;59;WFGTIP
default;GSFHJZ;2016-07-05T02:28:27-07:00;NA;NA;2674;96;GSFHJZ
images;LSAVJB;2016-07-05T11:28:36+02:00;9;wave;13275;85;LSAVJB
calculations;FHFQCN;2016-07-05T14:58:52+05:30;7;9 - 2 = ?;9211;90;FHFQCN
calculations;FHFQCN;2016-07-05T14:58:58+05:30;NA;NA;14443;90;FHFQCN
images;LSAVJB;2016-07-05T11:28:57+02:00;NA;NA;34348;85;LSAVJB
images;UNZTDR;2016-07-05T02:29:23-07:00;9;frozenlake;25080;83;UNZTDR
images;UNZTDR;2016-07-05T02:29:35-07:00;NA;NA;37157;83;UNZTDR
default;GSFHJZ;2016-07-05T02:30:03-07:00;NA;NA;3722;96;GSFHJZ
calculations;DHWBLW;2016-07-05T02:30:42-07:00;3;2 + 1 = ?;5236;89;DHWBLW
default;GSFHJZ;2016-07-05T02:31:16-07:00;NA;NA;2275;96;GSFHJZ
calculations;DHWBLW;2016-07-05T02:30:48-07:00;NA;NA;11006;89;DHWBLW
calculations;QAJHLS;2016-07-05T05:31:38-04:00;3;8 - 5 = ?;7957;92;QAJHLS
calculations;QAJHLS;2016-07-05T05:31:42-04:00;NA;NA;12175;92;QAJHLS
images;LSAVJB;2016-07-05T11:31:55+02:00;5;nightlyforest;6242;85;LSAVJB
images;LSAVJB;2016-07-05T11:31:57+02:00;NA;NA;8515;85;LSAVJB
calculations;HJLFWC;2016-07-05T15:02:07+05:30;7;9 - 2 = ?;15870;91;HJLFWC
calculations;HJLFWC;2016-07-05T15:02:22+05:30;NA;NA;31131;91;HJLFWC
calculations;DDNYGP;2016-07-05T04:33:24-05:00;2;3 - 1 = ?;4576;94;DDNYGP
calculations;DDNYGP;2016-07-05T04:33:45-05:00;NA;NA;25313;94;DDNYGP
default;SJSNCL;2016-07-05T02:33:59-07:00;NA;NA;11609;75;SJSNCL
default;ILNGPU;2016-07-05T05:33:22-04:00;NA;NA;10447;97;ILNGPU
default;SKLMFU;2016-07-05T04:34:18-05:00;NA;NA;2738;103;SKLMFU
default;ILNGPU;2016-07-05T05:34:32-04:00;NA;NA;5939;97;ILNGPU
default;ILNGPU;2016-07-05T05:35:04-04:00;NA;NA;1532;97;ILNGPU
calculations;EOZIMP;2016-07-05T02:36:06-07:00;3;2 + 1 = ?;6032;95;EOZIMP
default;SKLMFU;2016-07-05T04:36:23-05:00;NA;NA;1620;103;SKLMFU
images;NZFTZX;2016-07-05T04:36:32-05:00;NA;NA;759592;81;NZFTZX
default;CQHLRL;2016-07-05T05:36:39-04:00;NA;NA;9710;98;CQHLRL
calculations;EOZIMP;2016-07-05T02:36:54-07:00;NA;NA;54639;95;EOZIMP
calculations;DHWBLW;2016-07-05T02:37:06-07:00;8;3 + 5 = ?;3127;89;DHWBLW
calculations;DHWBLW;2016-07-05T02:37:13-07:00;NA;NA;10159;89;DHWBLW
calculations;QAJHLS;2016-07-05T05:37:56-04:00;2;3 - 1 = ?;5531;92;QAJHLS
images;AEEMGE;2016-07-05T10:37:59+01:00;0;mountaincloud;6191;105;AEEMGE
images;FQZTGM;2016-07-05T05:38:05-04:00;9;hilltrail;3787;108;FQZTGM
calculations;QAJHLS;2016-07-05T05:38:00-04:00;NA;NA;9607;92;QAJHLS
calculations;DDNYGP;2016-07-05T04:38:14-05:00;7;9 - 2 = ?;5427;94;DDNYGP
images;FQZTGM;2016-07-05T05:38:11-04:00;NA;NA;9626;108;FQZTGM
images;AEEMGE;2016-07-05T10:38:08+01:00;NA;NA;15615;105;AEEMGE
calculations;DDNYGP;2016-07-05T04:38:24-05:00;NA;NA;15293;94;DDNYGP
calculations;HJLFWC;2016-07-05T15:09:27+05:30;2;3 - 1 = ?;9306;91;HJLFWC
default;SKLMFU;2016-07-05T04:39:22-05:00;NA;NA;1413;103;SKLMFU
calculations;HJLFWC;2016-07-05T15:09:36+05:30;NA;NA;18138;91;HJLFWC
images;UNZTDR;2016-07-05T02:39:56-07:00;9;mountain;6153;83;UNZTDR
images;UNZTDR;2016-07-05T02:40:14-07:00;NA;NA;24552;83;UNZTDR
images;ZXHZPL;2016-07-05T02:40:41-07:00;7;wave;9288;111;ZXHZPL
images;NZFTZX;2016-07-05T04:40:46-05:00;9;mountaincloud;3464;81;NZFTZX
images;ZXHZPL;2016-07-05T02:40:51-07:00;NA;NA;19592;111;ZXHZPL
images;NZFTZX;2016-07-05T04:40:52-05:00;NA;NA;10096;81;NZFTZX
images;TZVVGL;2016-07-05T02:41:37-07:00;8;wave;6275;106;TZVVGL
images;TZVVGL;2016-07-05T02:41:45-07:00;NA;NA;14610;106;TZVVGL
calculations;DHWBLW;2016-07-05T02:41:47-07:00;7;9 - 2 = ?;1910;89;DHWBLW
calculations;DHWBLW;2016-07-05T02:41:49-07:00;NA;NA;3678;89;DHWBLW
calculations;TJLROQ;2016-07-05T04:42:24-05:00;2;3 - 1 = ?;7626;113;TJLROQ
images;MUXPCH;2016-07-05T05:42:45-04:00;0;wave;6806;104;MUXPCH
images;MUXPCH;2016-07-05T05:42:51-04:00;NA;NA;12357;104;MUXPCH
images;FQZTGM;2016-07-05T05:43:01-04:00;8;nightlyforest;3440;108;FQZTGM
calculations;QAJHLS;2016-07-05T05:42:57-04:00;8;4 + 4 = ?;3643;92;QAJHLS
calculations;QAJHLS;2016-07-05T05:42:59-04:00;NA;NA;5499;92;QAJHLS
default;CQHLRL;2016-07-05T05:42:54-04:00;NA;NA;5194;98;CQHLRL
images;FQZTGM;2016-07-05T05:43:07-04:00;NA;NA;9371;108;FQZTGM
calculations;HJLFWC;2016-07-05T15:13:05+05:30;8;4 + 4 = ?;5899;91;HJLFWC
images;AEEMGE;2016-07-05T10:43:07+01:00;0;nightlyforest;7208;105;AEEMGE
calculations;HJLFWC;2016-07-05T15:13:08+05:30;NA;NA;9161;91;HJLFWC
images;AEEMGE;2016-07-05T10:43:12+01:00;NA;NA;12481;105;AEEMGE
calculations;EOZIMP;2016-07-05T02:43:26-07:00;2;3 - 1 = ?;4690;95;EOZIMP
calculations;TJLROQ;2016-07-05T04:43:39-05:00;NA;NA;82550;113;TJLROQ
calculations;EOZIMP;2016-07-05T02:43:57-07:00;NA;NA;35576;95;EOZIMP
calculations;DDNYGP;2016-07-05T04:44:28-05:00;8;3 + 5 = ?;2835;94;DDNYGP
calculations;DDNYGP;2016-07-05T04:44:36-05:00;NA;NA;11165;94;DDNYGP
images;TZVVGL;2016-07-05T02:44:30-07:00;9;nightlyforest;6188;106;TZVVGL
images;TZVVGL;2016-07-05T02:44:33-07:00;NA;NA;8841;106;TZVVGL
default;YVUGMK;2016-07-05T05:45:15-04:00;NA;NA;96391;100;YVUGMK
images;TZVVGL;2016-07-05T02:46:28-07:00;9;hilltrail;6814;106;TZVVGL
default;IKRPHP;2016-07-05T04:46:32-05:00;NA;NA;13755;99;IKRPHP
images;TZVVGL;2016-07-05T02:46:30-07:00;NA;NA;9302;106;TZVVGL
images;ZXHZPL;2016-07-05T02:46:30-07:00;9;mountain;4220;111;ZXHZPL
images;UNZTDR;2016-07-05T02:46:39-07:00;2;wave;18825;83;UNZTDR
images;ZXHZPL;2016-07-05T02:46:39-07:00;NA;NA;12917;111;ZXHZPL
images;UNZTDR;2016-07-05T02:46:42-07:00;NA;NA;21913;83;UNZTDR
images;MUXPCH;2016-07-05T05:47:34-04:00;0;frozenlake;3619;104;MUXPCH
images;MUXPCH;2016-07-05T05:47:37-04:00;NA;NA;7338;104;MUXPCH
images;AEEMGE;2016-07-05T10:48:40+01:00;0;hilltrail;4309;105;AEEMGE
calculations;EOZIMP;2016-07-05T02:48:49-07:00;7;9 - 2 = ?;3276;95;EOZIMP
calculations;TJLROQ;2016-07-05T04:48:42-05:00;8;4 + 4 = ?;3737;113;TJLROQ
calculations;TJLROQ;2016-07-05T04:48:46-05:00;NA;NA;7440;113;TJLROQ
images;AEEMGE;2016-07-05T10:49:02+01:00;NA;NA;26348;105;AEEMGE
calculations;EOZIMP;2016-07-05T02:49:15-07:00;NA;NA;28866;95;EOZIMP
default;CQHLRL;2016-07-05T05:49:23-04:00;NA;NA;4339;98;CQHLRL
calculations;TJLROQ;2016-07-05T04:49:57-05:00;7;9 - 2 = ?;5883;113;TJLROQ
default;YVUGMK;2016-07-05T05:50:05-04:00;NA;NA;14811;100;YVUGMK
calculations;TJLROQ;2016-07-05T04:50:00-05:00;NA;NA;8984;113;TJLROQ
default;JYOXRB;2016-07-05T15:20:36+05:30;NA;NA;29732;101;JYOXRB
calculations;JPXCCB;2016-07-05T05:51:01-04:00;3;8 - 5 = ?;6174;115;JPXCCB
calculations;JPXCCB;2016-07-05T05:51:05-04:00;NA;NA;10532;115;JPXCCB
images;MUXPCH;2016-07-05T05:51:19-04:00;0;mountain;2173;104;MUXPCH
images;MUXPCH;2016-07-05T05:51:21-04:00;NA;NA;3733;104;MUXPCH
images;ZXHZPL;2016-07-05T02:53:21-07:00;8;hilltrail;4275;111;ZXHZPL
images;ZXHZPL;2016-07-05T02:53:24-07:00;NA;NA;7315;111;ZXHZPL
default;YVUGMK;2016-07-05T05:56:05-04:00;NA;NA;35294;100;YVUGMK
default;BBFJUU;2016-07-05T05:56:08-04:00;NA;NA;9846;120;BBFJUU
calculations;JPXCCB;2016-07-05T05:57:32-04:00;7;9 - 2 = ?;2737;115;JPXCCB
calculations;JPXCCB;2016-07-05T05:57:38-04:00;NA;NA;8778;115;JPXCCB
default;IKRPHP;2016-07-05T04:57:51-05:00;NA;NA;11247;99;IKRPHP
default;BBFJUU;2016-07-05T06:00:48-04:00;NA;NA;5450;120;BBFJUU
default;JYOXRB;2016-07-05T15:31:01+05:30;NA;NA;11074;101;JYOXRB
default;SLLJUA;2016-07-05T05:02:36-05:00;NA;NA;6780;126;SLLJUA
default;HZTPOX;2016-07-05T03:02:58-07:00;NA;NA;2083;124;HZTPOX
calculations;JPXCCB;2016-07-05T06:03:04-04:00;8;3 + 5 = ?;2348;115;JPXCCB
calculations;JPXCCB;2016-07-05T06:03:05-04:00;NA;NA;3589;115;JPXCCB
default;BBFJUU;2016-07-05T06:03:12-04:00;NA;NA;6311;120;BBFJUU
images;DKPOBV;2016-07-05T06:03:55-04:00;7;hilltrail;11865;131;DKPOBV
images;DKPOBV;2016-07-05T06:04:00-04:00;NA;NA;16775;131;DKPOBV
default;HZTPOX;2016-07-05T03:04:21-07:00;NA;NA;1378;124;HZTPOX
images;MRYSWB;2016-07-05T05:05:32-05:00;9;frozenlake;10109;134;MRYSWB
images;LSRKCR;2016-07-05T06:05:35-04:00;8;waterfalls;14949;130;LSRKCR
default;ZQFMRZ;2016-07-05T03:05:22-07:00;NA;NA;5726;127;ZQFMRZ
images;MRYSWB;2016-07-05T05:05:45-05:00;NA;NA;23703;134;MRYSWB
images;LSRKCR;2016-07-05T06:05:49-04:00;NA;NA;28910;130;LSRKCR
default;IIBMKM;2016-07-05T06:06:19-04:00;NA;NA;12086;121;IIBMKM
images;QKWZVE;2016-07-05T05:06:44-05:00;3;wave;8621;132;QKWZVE
images;QKWZVE;2016-07-05T05:06:58-05:00;NA;NA;22745;132;QKWZVE
images;MRYSWB;2016-07-05T05:07:21-05:00;8;mountain;4307;134;MRYSWB
images;MRYSWB;2016-07-05T05:07:24-05:00;NA;NA;6720;134;MRYSWB
default;HZTPOX;2016-07-05T03:08:06-07:00;NA;NA;18432;124;HZTPOX
images;IHBIUX;2016-07-05T05:08:10-05:00;0;nightlyforest;6596;135;IHBIUX
default;SLLJUA;2016-07-05T05:08:26-05:00;NA;NA;8032;126;SLLJUA
default;IKRPHP;2016-07-05T05:08:21-05:00;NA;NA;2884;99;IKRPHP
images;IHBIUX;2016-07-05T05:08:39-05:00;NA;NA;36089;135;IHBIUX
images;DKPOBV;2016-07-05T06:09:10-04:00;4;mountain;6324;131;DKPOBV
images;DKPOBV;2016-07-05T06:09:14-04:00;NA;NA;10521;131;DKPOBV
default;JYOXRB;2016-07-05T15:39:19+05:30;NA;NA;5134;101;JYOXRB
images;MRYSWB;2016-07-05T05:09:31-05:00;9;nightlyforest;2957;134;MRYSWB
images;MRYSWB;2016-07-05T05:09:34-05:00;NA;NA;5652;134;MRYSWB
default;ZQFMRZ;2016-07-05T03:09:37-07:00;NA;NA;5125;127;ZQFMRZ
default;SLLJUA;2016-07-05T05:10:56-05:00;NA;NA;2192;126;SLLJUA
images;QKWZVE;2016-07-05T05:11:01-05:00;3;frozenlake;4835;132;QKWZVE
images;QKWZVE;2016-07-05T05:11:06-05:00;NA;NA;9652;132;QKWZVE
images;DKPOBV;2016-07-05T06:11:17-04:00;8;nightlyforest;7163;131;DKPOBV
images;DKPOBV;2016-07-05T06:11:20-04:00;NA;NA;9739;131;DKPOBV
default;IIBMKM;2016-07-05T06:12:29-04:00;NA;NA;5551;121;IIBMKM
images;IHBIUX;2016-07-05T05:12:34-05:00;4;wave;11965;135;IHBIUX
images;LSRKCR;2016-07-05T06:12:37-04:00;7;hilltrail;8812;130;LSRKCR
images;IHBIUX;2016-07-05T05:12:41-05:00;NA;NA;18979;135;IHBIUX
images;LSRKCR;2016-07-05T06:12:58-04:00;NA;NA;29526;130;LSRKCR
images;GYDEKW;2016-07-05T05:13:03-05:00;9;waterfalls;12073;128;GYDEKW
images;GYDEKW;2016-07-05T05:14:02-05:00;NA;NA;71118;128;GYDEKW
images;QKWZVE;2016-07-05T05:14:41-05:00;2;mountaincloud;4107;132;QKWZVE
default;ZQFMRZ;2016-07-05T03:14:24-07:00;NA;NA;5444;127;ZQFMRZ
images;QKWZVE;2016-07-05T05:14:45-05:00;NA;NA;8155;132;QKWZVE
calculations;YOMJWI;2016-07-05T02:14:55-08:00;7;9 - 2 = ?;4756;138;YOMJWI
calculations;YOMJWI;2016-07-05T02:15:24-08:00;NA;NA;33938;138;YOMJWI
images;IHBIUX;2016-07-05T05:16:32-05:00;4;hilltrail;3842;135;IHBIUX
images;IHBIUX;2016-07-05T05:16:35-05:00;NA;NA;6188;135;IHBIUX
calculations;SVXAQY;2016-07-05T17:19:39+07:00;3;2 + 1 = ?;4167;141;SVXAQY
calculations;SVXAQY;2016-07-05T17:19:45+07:00;NA;NA;10377;141;SVXAQY
calculations;YOMJWI;2016-07-05T02:20:18-08:00;8;4 + 4 = ?;5974;138;YOMJWI
calculations;TPWJEW;2016-07-05T06:20:44-04:00;8;4 + 4 = ?;10644;136;TPWJEW
images;GYDEKW;2016-07-05T05:20:50-05:00;0;nightlyforest;7473;128;GYDEKW
images;GYDEKW;2016-07-05T05:21:07-05:00;NA;NA;24912;128;GYDEKW
calculations;YOMJWI;2016-07-05T02:21:17-08:00;NA;NA;64471;138;YOMJWI
default;IIBMKM;2016-07-05T06:22:05-04:00;NA;NA;1554;121;IIBMKM
calculations;TPWJEW;2016-07-05T06:22:10-04:00;NA;NA;96245;136;TPWJEW
calculations;SVXAQY;2016-07-05T17:22:34+07:00;8;4 + 4 = ?;1928;141;SVXAQY
calculations;SVXAQY;2016-07-05T17:22:36+07:00;NA;NA;3440;141;SVXAQY
images;LSRKCR;2016-07-05T06:22:57-04:00;0;nightlyforest;5308;130;LSRKCR
images;LSRKCR;2016-07-05T06:24:18-04:00;NA;NA;86374;130;LSRKCR
calculations;SVXAQY;2016-07-05T17:24:39+07:00;2;3 - 1 = ?;2544;141;SVXAQY
calculations;SVXAQY;2016-07-05T17:24:40+07:00;NA;NA;3880;141;SVXAQY
calculations;LUTTQW;2016-07-05T06:25:08-04:00;8;3 + 5 = ?;8895;139;LUTTQW
