answer;answernumeric;code;modification;time;usage;usagenumeric;vpid;cid
None;-1;SLLJUA;sciencehint;0;Studies;2;126;SLLJUA
None;-1;ZQFMRZ;sciencehint;0;Studies;2;127;ZQFMRZ
None;-1;RPJKER;sciencehint;0;Studies;2;129;RPJKER
None;-1;LSRKCR;sciencehint;0;Studies;2;130;LSRKCR
None;-1;GYDEKW;sciencehint;0;Studies;2;128;GYDEKW
None;-1;DKPOBV;sciencehint;0;Studies;2;131;DKPOBV
None;-1;QKWZVE;sciencehint;0;Studies;2;132;QKWZVE
None;-1;MRYSWB;sciencehint;0;Studies;2;134;MRYSWB
None;-1;IHBIUX;sciencehint;0;Studies;2;135;IHBIUX
None;-1;TPWJEW;sciencehint;0;Studies;2;136;TPWJEW
None;-1;THHGGA;sciencehint;0;Studies;2;137;THHGGA
None;-1;YOMJWI;sciencehint;0;Studies;2;138;YOMJWI
None;-1;LUTTQW;sciencehint;0;Studies;2;139;LUTTQW
None;-1;PWHNDI;sciencehint;0;Studies;2;140;PWHNDI
None;-1;SVXAQY;sciencehint;0;Studies;2;141;SVXAQY
None;-1;XAFJAH;sciencehint;0;Studies;2;142;XAFJAH
None;-1;QKAHZX;sciencehint;0;Studies;2;143;QKAHZX
None;-1;IKPTVD;sciencehint;0;None;0;144;IKPTVD
None;-1;CBVBYA;sciencehint;0;None;0;145;CBVBYA
None;-1;IKPTVD;sciencehint;0;None;0;144;IKPTVD
None;-1;PQLOER;sciencehint;0;None;0;146;PQLOER
None;-1;CTCHNM;sciencehint;0;None;0;147;CTCHNM
None;-1;BABSBC;sciencehint;0;None;0;148;BABSBC
None;-1;IITHNK;sciencehint;0;None;0;149;IITHNK
None;-1;DUSNPS;sciencehint;0;None;0;150;DUSNPS
None;-1;GFXCEU;sciencehint;0;None;0;151;GFXCEU
None;-1;EMBMUO;sciencehint;0;None;0;152;EMBMUO
None;-1;XLZPNS;sciencehint;0;None;0;153;XLZPNS
None;-1;HMQAXH;sciencehint;0;None;0;154;HMQAXH
None;-1;XRURAU;sciencehint;0;None;0;155;XRURAU
None;-1;FMZJTZ;sciencehint;0;None;0;156;FMZJTZ
None;-1;SPPASF;sciencehint;0;None;0;157;SPPASF
None;-1;VPVQXK;sciencehint;0;None;0;158;VPVQXK
None;-1;WPNNCK;sciencehint;0;None;0;159;WPNNCK
None;-1;ZKVYNX;sciencehint;0;None;0;160;ZKVYNX
None;-1;HXSNBQ;sciencehint;0;None;0;161;HXSNBQ
None;-1;ZHKDJM;sciencehint;0;None;0;163;ZHKDJM
None;-1;BMEPPF;sciencehint;0;None;0;164;BMEPPF
None;-1;QRRZRR;sciencehint;0;None;0;165;QRRZRR
None;-1;JZUZRS;sciencehint;0;None;0;166;JZUZRS
None;-1;KOZHPC;sciencehint;0;None;0;167;KOZHPC
None;-1;NODQCN;sciencehint;0;Science;1;168;NODQCN
None;-1;XCBWDK;sciencehint;0;Science;1;169;XCBWDK
None;-1;FLGEMX;sciencehint;0;Science;1;170;FLGEMX
None;-1;INEBLR;sciencehint;0;Science;1;171;INEBLR
None;-1;TKSGXV;sciencehint;0;Science;1;172;TKSGXV
None;-1;ENCDIE;sciencehint;0;Science;1;173;ENCDIE
None;-1;BZPRKK;sciencehint;0;Science;1;174;BZPRKK
None;-1;KRTWKF;sciencehint;0;Science;1;175;KRTWKF
None;-1;RKVMFG;sciencehint;0;Science;1;176;RKVMFG
None;-1;SZAYRH;sciencehint;0;Science;1;177;SZAYRH
None;-1;LWEGOF;sciencehint;0;Science;1;178;LWEGOF
None;-1;BDJYKJ;sciencehint;0;Science;1;180;BDJYKJ
None;-1;RLTMKE;sciencehint;0;Science;1;181;RLTMKE
None;-1;WKBAHI;sciencehint;0;Science;1;183;WKBAHI
None;-1;SXJNYJ;sciencehint;0;Science;1;184;SXJNYJ
None;-1;RIWQNE;sciencehint;0;Science;1;185;RIWQNE
None;-1;SXJNYJ;sciencehint;0;Science;1;184;SXJNYJ
None;-1;SXJNYJ;sciencehint;0;Science;1;184;SXJNYJ
None;-1;LFJNIK;sciencehint;0;Science;1;186;LFJNIK
None;-1;JGXEXS;sciencehint;0;Science;1;187;JGXEXS
None;-1;AQDZEL;sciencehint;0;Science;1;188;AQDZEL
None;-1;HWPYKX;sciencehint;0;Science;1;189;HWPYKX
None;-1;YNNIVS;sciencehint;0;Science;1;191;YNNIVS
None;-1;LLURZV;sciencehint;0;Studies;2;192;LLURZV
None;-1;IQHHAY;sciencehint;0;Studies;2;194;IQHHAY
None;-1;TRNTKP;sciencehint;0;Studies;2;195;TRNTKP
None;-1;VDVRAB;sciencehint;0;Studies;2;196;VDVRAB
None;-1;SPLZWN;sciencehint;0;Studies;2;197;SPLZWN
None;-1;YNERWE;sciencehint;0;Studies;2;198;YNERWE
None;-1;AENXHD;sciencehint;0;Studies;2;199;AENXHD
None;-1;WXBNDE;sciencehint;0;Studies;2;200;WXBNDE
None;-1;BYNJOI;sciencehint;0;Studies;2;202;BYNJOI
None;-1;LDXXQH;sciencehint;0;Studies;2;201;LDXXQH
None;-1;SNLISM;sciencehint;0;Studies;2;204;SNLISM
None;-1;QSIJMJ;sciencehint;0;Studies;2;203;QSIJMJ
None;-1;QVOBPQ;sciencehint;0;Studies;2;205;QVOBPQ
None;-1;LPYPSV;sciencehint;0;Studies;2;206;LPYPSV
None;-1;WDZCBC;sciencehint;0;Studies;2;208;WDZCBC
None;-1;QDBLQZ;sciencehint;0;Studies;2;207;QDBLQZ
None;-1;ZUQKNO;sciencehint;0;Studies;2;209;ZUQKNO
None;-1;FVTYJC;sciencehint;0;Studies;2;210;FVTYJC
None;-1;SQDQLH;sciencehint;0;Studies;2;211;SQDQLH
None;-1;QWZYGF;sciencehint;0;Studies;2;212;QWZYGF
None;-1;DBOLDC;sciencehint;0;Studies;2;213;DBOLDC
None;-1;NXXIDY;sciencehint;0;Studies;2;214;NXXIDY
None;-1;FUQLVG;sciencehint;0;Studies;2;215;FUQLVG
None;-1;SJCAPM;sciencehint;0;None;0;216;SJCAPM
None;-1;DCOUOW;sciencehint;0;None;0;218;DCOUOW
None;-1;GLBAWD;sciencehint;0;None;0;217;GLBAWD
None;-1;WANZEQ;sciencehint;0;None;0;219;WANZEQ
None;-1;ICVVRF;sciencehint;0;None;0;220;ICVVRF
None;-1;JLXHBP;sciencehint;0;None;0;222;JLXHBP
None;-1;ODOHTD;sciencehint;0;None;0;223;ODOHTD
None;-1;JVLTDQ;sciencehint;0;None;0;225;JVLTDQ
None;-1;GIIJVO;sciencehint;0;None;0;224;GIIJVO
None;-1;QJOZDX;sciencehint;0;None;0;226;QJOZDX
None;-1;JLXHBP;sciencehint;0;None;0;222;JLXHBP
None;-1;XBIAXO;sciencehint;0;None;0;221;XBIAXO
None;-1;XYMOXV;sciencehint;0;None;0;227;XYMOXV
None;-1;MGOPEG;sciencehint;0;None;0;228;MGOPEG
None;-1;LGCSAB;sciencehint;0;None;0;229;LGCSAB
None;-1;IXSQBQ;sciencehint;0;None;0;230;IXSQBQ
None;-1;AJWUGX;sciencehint;0;None;0;231;AJWUGX
None;-1;SGWGLB;sciencehint;0;None;0;232;SGWGLB
None;-1;QEDAQC;sciencehint;0;None;0;234;QEDAQC
None;-1;PBWRQT;sciencehint;0;None;0;233;PBWRQT
None;-1;UIDHIL;sciencehint;0;None;0;236;UIDHIL
None;-1;ECTXRJ;sciencehint;0;None;0;237;ECTXRJ
None;-1;JDLRXH;sciencehint;0;None;0;235;JDLRXH
None;-1;UXYWGO;sciencehint;0;None;0;239;UXYWGO
None;-1;XJONNT;sciencehint;0;None;0;238;XJONNT
None;-1;GEYOLC;sciencehint;0;Science;1;240;GEYOLC
None;-1;ROLZTE;sciencehint;0;Science;1;241;ROLZTE
None;-1;SDBUMP;sciencehint;0;Science;1;242;SDBUMP
None;-1;KZZDMK;sciencehint;0;Science;1;243;KZZDMK
None;-1;BCOZKZ;sciencehint;0;Science;1;244;BCOZKZ
None;-1;JOTCQK;sciencehint;0;Science;1;245;JOTCQK
None;-1;WMDDWE;sciencehint;0;Science;1;246;WMDDWE
None;-1;RRGSVY;sciencehint;0;Science;1;247;RRGSVY
None;-1;PZRHIQ;sciencehint;0;Science;1;249;PZRHIQ
None;-1;PNUVQJ;sciencehint;0;Science;1;250;PNUVQJ
None;-1;NGGOKT;sciencehint;0;Science;1;248;NGGOKT
None;-1;FRHYZI;sciencehint;0;Science;1;251;FRHYZI
None;-1;AKQJTW;sciencehint;0;Science;1;252;AKQJTW
None;-1;NGCQPX;sciencehint;0;Science;1;253;NGCQPX
None;-1;APWGIL;sciencehint;0;Science;1;254;APWGIL
None;-1;KRAHFX;sciencehint;0;Science;1;256;KRAHFX
None;-1;STKDFG;sciencehint;0;Science;1;257;STKDFG
None;-1;XTUAPR;sciencehint;0;Science;1;255;XTUAPR
None;-1;CNZEOT;sciencehint;0;Science;1;258;CNZEOT
None;-1;CIOUMA;sciencehint;0;Science;1;260;CIOUMA
None;-1;KDQGVQ;sciencehint;0;Science;1;259;KDQGVQ
None;-1;WKWLCV;sciencehint;0;Science;1;261;WKWLCV
None;-1;SPVKRW;sciencehint;0;Science;1;262;SPVKRW
None;-1;VCJNNS;sciencehint;0;Science;1;263;VCJNNS
None;-1;ZJHSJN;sciencehint;0;Studies;2;264;ZJHSJN
None;-1;FLCVRO;sciencehint;0;Studies;2;265;FLCVRO
None;-1;XBMFSJ;sciencehint;0;Studies;2;266;XBMFSJ
None;-1;KXPKNX;sciencehint;0;Studies;2;267;KXPKNX
None;-1;GKXXJY;sciencehint;0;Studies;2;269;GKXXJY
None;-1;EMRLAR;sciencehint;0;Studies;2;268;EMRLAR
None;-1;GJTWRP;sciencehint;0;Studies;2;270;GJTWRP
None;-1;LJZYWV;sciencehint;0;Studies;2;271;LJZYWV
None;-1;TTZLKA;sciencehint;0;Studies;2;272;TTZLKA
None;-1;FXECJS;sciencehint;0;Studies;2;273;FXECJS
None;-1;ELDKGP;sciencehint;0;Studies;2;274;ELDKGP
None;-1;MYQMUM;sciencehint;0;Studies;2;275;MYQMUM
None;-1;FUGMIL;sciencehint;0;Studies;2;276;FUGMIL
None;-1;JDTDOT;sciencehint;0;Studies;2;277;JDTDOT
None;-1;HQDOMV;sciencehint;0;Studies;2;278;HQDOMV
None;-1;SBTQRW;sciencehint;0;Studies;2;279;SBTQRW
None;-1;KKAJCQ;sciencehint;0;Studies;2;280;KKAJCQ
None;-1;GYGUMS;sciencehint;0;Studies;2;282;GYGUMS
None;-1;TXSIBM;sciencehint;0;Studies;2;281;TXSIBM
None;-1;VTLUNK;sciencehint;0;Studies;2;283;VTLUNK
None;-1;LOCNZC;sciencehint;0;Studies;2;284;LOCNZC
None;-1;UUGUOX;sciencehint;0;Studies;2;285;UUGUOX
None;-1;LIQHYB;sciencehint;0;Studies;2;287;LIQHYB
None;-1;OUCALY;sciencehint;0;None;0;288;OUCALY
None;-1;GYMWLE;sciencehint;0;None;0;289;GYMWLE
None;-1;JDJWGB;sciencehint;0;None;0;291;JDJWGB
None;-1;NGXFSZ;sciencehint;0;None;0;290;NGXFSZ
None;-1;JHHYRS;sciencehint;0;None;0;292;JHHYRS
None;-1;MCGSSP;sciencehint;0;None;0;294;MCGSSP
None;-1;JNQIDA;sciencehint;0;None;0;295;JNQIDA
None;-1;JJKGMR;sciencehint;0;None;0;296;JJKGMR
None;-1;ACAEFC;sciencehint;0;None;0;297;ACAEFC
None;-1;OGTZJV;sciencehint;0;None;0;300;OGTZJV
None;-1;EWRMEM;sciencehint;0;None;0;299;EWRMEM
None;-1;FSNNVH;sciencehint;0;None;0;304;FSNNVH
None;-1;UCVTEX;sciencehint;0;None;0;305;UCVTEX
None;-1;AYYXBG;sciencehint;0;None;0;303;AYYXBG
None;-1;JHHYRS;sciencehint;0;None;0;292;JHHYRS
None;-1;QOWEKP;sciencehint;0;None;0;306;QOWEKP
None;-1;GOAMTM;sciencehint;0;None;0;307;GOAMTM
None;-1;XCXJEW;sciencehint;0;None;0;309;XCXJEW
None;-1;HCEOCD;sciencehint;0;None;0;310;HCEOCD
None;-1;NRCZRY;sciencehint;0;None;0;308;NRCZRY
None;-1;VJHWYK;sciencehint;0;None;0;311;VJHWYK
None;-1;MHUOZU;sciencehint;0;Science;1;313;MHUOZU
None;-1;LOSWCB;sciencehint;0;Science;1;312;LOSWCB
None;-1;EXQRVR;sciencehint;0;Science;1;314;EXQRVR
None;-1;YFAREZ;sciencehint;0;Science;1;315;YFAREZ
None;-1;CKSWBO;sciencehint;0;Science;1;317;CKSWBO
None;-1;YPFMDQ;sciencehint;0;Science;1;316;YPFMDQ
None;-1;HZZXGF;sciencehint;0;Science;1;318;HZZXGF
None;-1;DFKKDT;sciencehint;0;Science;1;319;DFKKDT
None;-1;SJRYZM;sciencehint;0;Science;1;320;SJRYZM
None;-1;DDRTXD;sciencehint;0;Science;1;321;DDRTXD
None;-1;ZQDAES;sciencehint;0;Science;1;322;ZQDAES
None;-1;RZVAGM;sciencehint;0;Science;1;324;RZVAGM
None;-1;YUOZVB;sciencehint;0;Science;1;326;YUOZVB
None;-1;TTOIVF;sciencehint;0;Science;1;325;TTOIVF
None;-1;OEJUVG;sciencehint;0;Science;1;327;OEJUVG
None;-1;VWGXZN;sciencehint;0;Science;1;328;VWGXZN
None;-1;GQVPGX;sciencehint;0;Science;1;329;GQVPGX
None;-1;ZOCJUQ;sciencehint;0;Science;1;330;ZOCJUQ
None;-1;MHBHRY;sciencehint;0;Science;1;331;MHBHRY
None;-1;LYWCBU;sciencehint;0;Science;1;332;LYWCBU
None;-1;ROPYFX;sciencehint;0;Science;1;333;ROPYFX
None;-1;USRBRQ;sciencehint;0;Science;1;334;USRBRQ
None;-1;MFAJOF;sciencehint;0;Science;1;335;MFAJOF
None;-1;OPRVJN;sciencehint;0;Studies;2;337;OPRVJN
None;-1;MCWEML;sciencehint;0;Studies;2;336;MCWEML
None;-1;JYHGRH;sciencehint;0;Studies;2;338;JYHGRH
None;-1;WXWCJZ;sciencehint;0;Studies;2;339;WXWCJZ
None;-1;PPCBZD;sciencehint;0;Studies;2;340;PPCBZD
None;-1;EVXJHL;sciencehint;0;Studies;2;341;EVXJHL
None;-1;IUDRQB;sciencehint;0;Studies;2;342;IUDRQB
None;-1;QIDLZO;sciencehint;0;Studies;2;343;QIDLZO
None;-1;WTAQFZ;sciencehint;0;Studies;2;344;WTAQFZ
None;-1;DCIMEJ;sciencehint;0;Studies;2;345;DCIMEJ
None;-1;PJANJA;sciencehint;0;Studies;2;348;PJANJA
None;-1;HIDSHR;sciencehint;0;Studies;2;349;HIDSHR
None;-1;EYYKZD;sciencehint;0;Studies;2;346;EYYKZD
None;-1;IIYMFY;sciencehint;0;Studies;2;347;IIYMFY
None;-1;MWBFSY;sciencehint;0;Studies;2;350;MWBFSY
None;-1;VKCTRR;sciencehint;0;Studies;2;351;VKCTRR
None;-1;JBHTQK;sciencehint;0;Studies;2;352;JBHTQK
None;-1;COAMXP;sciencehint;0;Studies;2;354;COAMXP
None;-1;KHMFJE;sciencehint;0;Studies;2;353;KHMFJE
None;-1;PQPLWC;sciencehint;0;Studies;2;355;PQPLWC
None;-1;XVXBPB;sciencehint;0;Studies;2;356;XVXBPB
None;-1;VQMSLO;sciencehint;0;Studies;2;358;VQMSLO
None;-1;TXTFLX;sciencehint;0;Studies;2;357;TXTFLX
None;-1;RBMPFK;sciencehint;0;Studies;2;359;RBMPFK
None;-1;RAXUPV;sciencehint;0;None;0;360;RAXUPV
None;-1;BALKVO;sciencehint;0;None;0;362;BALKVO
None;-1;WMXPPG;sciencehint;0;None;0;361;WMXPPG
None;-1;OYUWTS;sciencehint;0;None;0;364;OYUWTS
None;-1;NDUDGU;sciencehint;0;None;0;365;NDUDGU
None;-1;MNWGCV;sciencehint;0;None;0;367;MNWGCV
None;-1;RYFTDZ;sciencehint;0;None;0;366;RYFTDZ
None;-1;FMWFNM;sciencehint;0;None;0;368;FMWFNM
None;-1;SZHNZT;sciencehint;0;None;0;369;SZHNZT
None;-1;DBHHZZ;sciencehint;0;None;0;371;DBHHZZ
None;-1;KKCVGH;sciencehint;0;None;0;370;KKCVGH
None;-1;SORCMA;sciencehint;0;None;0;372;SORCMA
None;-1;NRUCLE;sciencehint;0;None;0;373;NRUCLE
None;-1;VGYRLT;sciencehint;0;None;0;374;VGYRLT
None;-1;VRGNNV;sciencehint;0;None;0;375;VRGNNV
None;-1;OUGSBA;sciencehint;0;None;0;376;OUGSBA
None;-1;MDXJSL;sciencehint;0;None;0;377;MDXJSL
None;-1;BNNBAQ;sciencehint;0;None;0;378;BNNBAQ
None;-1;QQBOGG;sciencehint;0;None;0;379;QQBOGG
None;-1;XOFIJR;sciencehint;0;None;0;381;XOFIJR
None;-1;UFAXGM;sciencehint;0;None;0;380;UFAXGM
None;-1;SMKISI;sciencehint;0;None;0;382;SMKISI
None;-1;VQEGUS;sciencehint;0;Science;1;384;VQEGUS
None;-1;NXVYJP;sciencehint;0;Science;1;385;NXVYJP
None;-1;JMAMNC;sciencehint;0;Science;1;386;JMAMNC
None;-1;WDTTBI;sciencehint;0;Science;1;387;WDTTBI
None;-1;LOIAQP;sciencehint;0;Science;1;389;LOIAQP
None;-1;JMAMNC;sciencehint;0;Science;1;386;JMAMNC
None;-1;WPTJXY;sciencehint;0;Science;1;391;WPTJXY
None;-1;CADEHQ;sciencehint;0;Science;1;392;CADEHQ
None;-1;ETKRLL;sciencehint;0;None;0;383;ETKRLL
None;-1;FSLLGN;sciencehint;0;Science;1;393;FSLLGN
None;-1;JEDLIX;sciencehint;0;Science;1;394;JEDLIX
None;-1;GTCVPX;sciencehint;0;Science;1;390;GTCVPX
None;-1;HIXVWP;sciencehint;0;Science;1;396;HIXVWP
None;-1;XHYWCV;sciencehint;0;Science;1;395;XHYWCV
None;-1;ZNBUWN;sciencehint;0;Science;1;397;ZNBUWN
None;-1;OEZPBB;sciencehint;0;Science;1;399;OEZPBB
None;-1;KRTPFH;sciencehint;0;Science;1;398;KRTPFH
None;-1;TVBEHJ;sciencehint;0;Science;1;400;TVBEHJ
None;-1;YMMTRS;sciencehint;0;Science;1;401;YMMTRS
None;-1;WVEHGA;sciencehint;0;Science;1;402;WVEHGA
None;-1;QHMOZL;sciencehint;0;Science;1;403;QHMOZL
None;-1;XZPGNW;sciencehint;0;Science;1;404;XZPGNW
None;-1;RRLGDO;sciencehint;0;Science;1;405;RRLGDO
None;-1;AWADEN;sciencehint;0;Science;1;407;AWADEN
None;-1;NOEFZG;sciencehint;0;Studies;2;408;NOEFZG
None;-1;YYPUNF;sciencehint;0;Studies;2;410;YYPUNF
None;-1;OOTEOQ;sciencehint;0;Studies;2;409;OOTEOQ
None;-1;EPEZED;sciencehint;0;Science;1;388;EPEZED
None;-1;UMEOFG;sciencehint;0;Studies;2;412;UMEOFG
None;-1;QNNBXC;sciencehint;0;Studies;2;413;QNNBXC
None;-1;ZLOHRD;sciencehint;0;Studies;2;414;ZLOHRD
None;-1;QMVRLD;sciencehint;0;Studies;2;416;QMVRLD
None;-1;ITMDFP;sciencehint;0;Studies;2;417;ITMDFP
None;-1;QGKXQU;sciencehint;0;Science;1;406;QGKXQU
None;-1;HACWKM;sciencehint;0;Studies;2;418;HACWKM
None;-1;TFLUJD;sciencehint;0;Studies;2;420;TFLUJD
None;-1;YWQWSG;sciencehint;0;Studies;2;421;YWQWSG
None;-1;SEDKIH;sciencehint;0;Studies;2;419;SEDKIH
None;-1;QCDYAO;sciencehint;0;Studies;2;425;QCDYAO
None;-1;GRSYSM;sciencehint;0;Studies;2;423;GRSYSM
None;-1;LFQWGJ;sciencehint;0;Studies;2;427;LFQWGJ
None;-1;VEGYHD;sciencehint;0;Studies;2;426;VEGYHD
None;-1;PJNZQE;sciencehint;0;Studies;2;428;PJNZQE
None;-1;PPVUIH;sciencehint;0;Studies;2;429;PPVUIH
None;-1;XMDZGW;sciencehint;0;Studies;2;424;XMDZGW
None;-1;SYGTRF;sciencehint;0;Studies;2;430;SYGTRF
None;-1;FKPBFD;sciencehint;0;Studies;2;431;FKPBFD
None;-1;YCODNU;sciencehint;0;None;0;432;YCODNU
None;-1;BHDKKC;sciencehint;0;None;0;433;BHDKKC
None;-1;GONGAZ;sciencehint;0;None;0;435;GONGAZ
None;-1;MXGFCI;sciencehint;0;None;0;434;MXGFCI
None;-1;TMPVAV;sciencehint;0;None;0;436;TMPVAV
None;-1;FKIPGB;sciencehint;0;None;0;437;FKIPGB
None;-1;NJKYJD;sciencehint;0;None;0;438;NJKYJD
None;-1;NDRHBV;sciencehint;0;None;0;439;NDRHBV
None;-1;VPJTRH;sciencehint;0;None;0;441;VPJTRH
None;-1;UUHPNL;sciencehint;0;None;0;442;UUHPNL
None;-1;XENIZM;sciencehint;0;None;0;443;XENIZM
None;-1;IWKSXJ;sciencehint;0;None;0;444;IWKSXJ
None;-1;DMGUSW;sciencehint;0;None;0;445;DMGUSW
None;-1;SBFRTB;sciencehint;0;None;0;446;SBFRTB
None;-1;NDDSFZ;sciencehint;0;None;0;447;NDDSFZ
None;-1;YVBLUD;sciencehint;0;None;0;449;YVBLUD
None;-1;LGXWQF;sciencehint;0;None;0;450;LGXWQF
None;-1;WKMESW;sciencehint;0;None;0;452;WKMESW
None;-1;RBQEBS;sciencehint;0;None;0;448;RBQEBS
None;-1;LUSFEO;sciencehint;0;None;0;451;LUSFEO
None;-1;BWSQUA;sciencehint;0;None;0;453;BWSQUA
None;-1;GOVPNK;sciencehint;0;None;0;454;GOVPNK
None;-1;LUSFEO;sciencehint;0;None;0;451;LUSFEO
None;-1;WHHZKG;sciencehint;0;None;0;455;WHHZKG
None;-1;SJOAGO;sciencehint;0;Science;1;457;SJOAGO
