,Aac,Iac,Eac,Oac,Aca,Ica,Eca,Oca,NVC
IA3,0.022222222222222223,0.4266666666666667,0.013333333333333334,0.09333333333333334,0.017777777777777778,0.18666666666666668,0.02666666666666667,0.06222222222222222,0.1511111111111111
IA4,0.03597122302158273,0.31654676258992803,0.025179856115107913,0.09712230215827339,0.039568345323741004,0.3489208633093525,0.025179856115107913,0.046762589928057555,0.06474820143884892
II1,0.008849557522123894,0.415929203539823,0.030973451327433628,0.08849557522123894,0.0,0.12831858407079647,0.017699115044247787,0.084070796460177,0.22566371681415928
II2,0.022321428571428572,0.21875,0.026785714285714284,0.05357142857142857,0.017857142857142856,0.32142857142857145,0.03125,0.08035714285714286,0.22767857142857142
II3,0.03111111111111111,0.27111111111111114,0.03111111111111111,0.09333333333333334,0.0,0.15555555555555556,0.013333333333333334,0.04888888888888889,0.35555555555555557
II4,0.017937219730941704,0.2600896860986547,0.03587443946188341,0.08520179372197309,0.02242152466367713,0.15246636771300448,0.02242152466367713,0.07623318385650224,0.3273542600896861
IE1,0.03125,0.11607142857142858,0.17857142857142858,0.27232142857142855,0.013392857142857142,0.049107142857142856,0.07589285714285714,0.12053571428571429,0.14285714285714285
IE2,0.02252252252252252,0.06306306306306306,0.11261261261261261,0.12612612612612611,0.009009009009009009,0.11711711711711711,0.23873873873873874,0.12612612612612611,0.18468468468468469
IE3,0.022123893805309734,0.07964601769911504,0.14601769911504425,0.2345132743362832,0.01327433628318584,0.10176991150442478,0.17256637168141592,0.10176991150442478,0.12831858407079647
IE4,0.035398230088495575,0.12389380530973451,0.1415929203539823,0.2168141592920354,0.022123893805309734,0.06637168141592921,0.11504424778761062,0.07964601769911504,0.19911504424778761
IO1,0.00881057268722467,0.11013215859030837,0.02643171806167401,0.34801762114537443,0.013215859030837005,0.06607929515418502,0.03524229074889868,0.16299559471365638,0.2290748898678414
IO2,0.022321428571428572,0.16071428571428573,0.044642857142857144,0.15625,0.022321428571428572,0.125,0.004464285714285714,0.20089285714285715,0.26339285714285715
IO3,0.03139013452914798,0.14798206278026907,0.04484304932735426,0.17040358744394618,0.004484304932735426,0.09865470852017937,0.03139013452914798,0.14798206278026907,0.32286995515695066
IO4,0.013392857142857142,0.11607142857142858,0.026785714285714284,0.30357142857142855,0.008928571428571428,0.10714285714285714,0.017857142857142856,0.125,0.28125
EA1,0.04,0.06666666666666667,0.40444444444444444,0.06666666666666667,0.008888888888888889,0.057777777777777775,0.1688888888888889,0.04888888888888889,0.13777777777777778
EA2,0.043859649122807015,0.07894736842105263,0.16228070175438597,0.043859649122807015,0.017543859649122806,0.039473684210526314,0.4868421052631579,0.05263157894736842,0.07456140350877193
EA3,0.014492753623188406,0.07608695652173914,0.42028985507246375,0.06159420289855073,0.018115942028985508,0.04710144927536232,0.2463768115942029,0.050724637681159424,0.06521739130434782
EA4,0.017777777777777778,0.057777777777777775,0.22666666666666666,0.05333333333333334,0.035555555555555556,0.07555555555555556,0.24888888888888888,0.1111111111111111,0.17333333333333334
EI1,0.048458149779735685,0.09691629955947137,0.19823788546255505,0.09251101321585903,0.004405286343612335,0.05726872246696035,0.0881057268722467,0.18502202643171806,0.2290748898678414
EI2,0.044444444444444446,0.05333333333333334,0.08,0.08444444444444445,0.022222222222222223,0.12444444444444444,0.1511111111111111,0.29777777777777775,0.14222222222222222
EI3,0.0043859649122807015,0.09649122807017543,0.17982456140350878,0.10526315789473684,0.02631578947368421,0.07894736842105263,0.10087719298245613,0.2412280701754386,0.16666666666666666
EI4,0.017467248908296942,0.10480349344978165,0.1091703056768559,0.1091703056768559,0.021834061135371178,0.11353711790393013,0.07860262008733625,0.2096069868995633,0.23580786026200873
EE1,0.026785714285714284,0.10267857142857142,0.24553571428571427,0.06696428571428571,0.017857142857142856,0.0625,0.14285714285714285,0.03125,0.30357142857142855
EE2,0.03524229074889868,0.09251101321585903,0.18061674008810572,0.05286343612334802,0.022026431718061675,0.08370044052863436,0.19823788546255505,0.030837004405286344,0.3039647577092511
EE3,0.048672566371681415,0.0752212389380531,0.12389380530973451,0.048672566371681415,0.02654867256637168,0.048672566371681415,0.11504424778761062,0.05752212389380531,0.4557522123893805
EE4,0.03587443946188341,0.04484304932735426,0.18385650224215247,0.06726457399103139,0.03139013452914798,0.05829596412556054,0.09417040358744394,0.04484304932735426,0.43946188340807174
EO1,0.017699115044247787,0.13274336283185842,0.15486725663716813,0.09292035398230089,0.0,0.06637168141592921,0.06637168141592921,0.1504424778761062,0.3185840707964602
EO2,0.03508771929824561,0.07894736842105263,0.06578947368421052,0.09649122807017543,0.021929824561403508,0.18421052631578946,0.05263157894736842,0.2236842105263158,0.2412280701754386
EO3,0.03508771929824561,0.11842105263157894,0.06578947368421052,0.10526315789473684,0.013157894736842105,0.09649122807017543,0.08771929824561403,0.18859649122807018,0.2894736842105263
EO4,0.01327433628318584,0.11504424778761062,0.09734513274336283,0.1415929203539823,0.004424778761061947,0.084070796460177,0.07079646017699115,0.1902654867256637,0.2831858407079646
OA1,0.03111111111111111,0.22666666666666666,0.04,0.25333333333333335,0.02666666666666667,0.08444444444444445,0.057777777777777775,0.13333333333333333,0.14666666666666667
OA2,0.022222222222222223,0.11555555555555555,0.035555555555555556,0.12444444444444444,0.022222222222222223,0.10666666666666667,0.044444444444444446,0.4177777777777778,0.1111111111111111
OA3,0.039473684210526314,0.17982456140350878,0.043859649122807015,0.24561403508771928,0.0043859649122807015,0.14473684210526316,0.039473684210526314,0.16666666666666666,0.13596491228070176
OA4,0.061946902654867256,0.15486725663716813,0.035398230088495575,0.11946902654867257,0.017699115044247787,0.11061946902654868,0.030973451327433628,0.3672566371681416,0.10176991150442478
OI1,0.025974025974025976,0.21212121212121213,0.017316017316017316,0.19913419913419914,0.017316017316017316,0.09956709956709957,0.025974025974025976,0.15151515151515152,0.2510822510822511
OI2,0.02643171806167401,0.11013215859030837,0.039647577092511016,0.11894273127753303,0.004405286343612335,0.12334801762114538,0.039647577092511016,0.3303964757709251,0.20704845814977973
OI3,0.01834862385321101,0.16055045871559634,0.04128440366972477,0.14220183486238533,0.013761467889908258,0.13761467889908258,0.027522935779816515,0.15137614678899083,0.3073394495412844
OI4,0.02666666666666667,0.18666666666666668,0.044444444444444446,0.10222222222222223,0.008888888888888889,0.07111111111111111,0.03111111111111111,0.21777777777777776,0.3111111111111111
OE1,0.008968609865470852,0.14798206278026907,0.07623318385650224,0.2645739910313901,0.02242152466367713,0.08520179372197309,0.08520179372197309,0.08968609865470852,0.21973094170403587
OE2,0.017391304347826087,0.08260869565217391,0.08260869565217391,0.13478260869565217,0.021739130434782608,0.11304347826086956,0.1565217391304348,0.11739130434782609,0.27391304347826084
OE3,0.02608695652173913,0.15217391304347827,0.1,0.22608695652173913,0.017391304347826087,0.07391304347826087,0.0782608695652174,0.1,0.22608695652173913
OE4,0.021929824561403508,0.11403508771929824,0.13157894736842105,0.14035087719298245,0.021929824561403508,0.07894736842105263,0.11403508771929824,0.09210526315789473,0.2850877192982456
OO1,0.04782608695652174,0.16521739130434782,0.030434782608695653,0.2608695652173913,0.0,0.06956521739130435,0.017391304347826087,0.14347826086956522,0.26521739130434785
OO2,0.017857142857142856,0.11607142857142858,0.03571428571428571,0.14732142857142858,0.013392857142857142,0.12053571428571429,0.017857142857142856,0.24553571428571427,0.2857142857142857
OO3,0.02631578947368421,0.13596491228070176,0.039473684210526314,0.14912280701754385,0.021929824561403508,0.10964912280701754,0.013157894736842105,0.09649122807017543,0.40789473684210525
OO4,0.01327433628318584,0.14601769911504425,0.04424778761061947,0.13274336283185842,0.004424778761061947,0.10176991150442478,0.03982300884955752,0.09734513274336283,0.42035398230088494
