,Aac,Iac,Eac,Oac,Aca,Ica,Eca,Oca,NVC,entropy
OO3,0.02631578947368421,0.13596491228070176,0.03947368421052632,0.14912280701754385,0.02192982456140351,0.10964912280701754,0.013157894736842105,0.09649122807017543,0.4078947368421053,1.7529199795053227
EE4,0.035874439461883414,0.044843049327354265,0.18385650224215247,0.06726457399103139,0.03139013452914798,0.05829596412556054,0.09417040358744394,0.044843049327354265,0.4394618834080717,1.7489119564958835
AA4,0.36,0.16,0.02666666666666667,0.02666666666666667,0.14666666666666667,0.11555555555555555,0.004444444444444445,0.013333333333333334,0.14666666666666667,1.748393633960088
AE3,0.01762114537444934,0.03524229074889868,0.34801762114537443,0.0881057268722467,0.013215859030837005,0.08370044052863436,0.28634361233480177,0.05286343612334802,0.07488986784140969,1.742832870989387
IO4,0.013392857142857142,0.11607142857142858,0.026785714285714284,0.3035714285714285,0.008928571428571428,0.10714285714285714,0.017857142857142856,0.125,0.28125,1.7366129920183038
IO1,0.00881057268722467,0.11013215859030837,0.02643171806167401,0.34801762114537443,0.013215859030837005,0.06607929515418502,0.03524229074889868,0.16299559471365638,0.2290748898678414,1.735893253194466
AE2,0.01762114537444934,0.039647577092511016,0.2334801762114537,0.1013215859030837,0.00881057268722467,0.03524229074889868,0.3612334801762114,0.048458149779735685,0.15418502202643172,1.733104765726877
OO4,0.01327433628318584,0.14601769911504425,0.04424778761061947,0.13274336283185842,0.004424778761061947,0.10176991150442477,0.03982300884955752,0.09734513274336284,0.42035398230088494,1.7202917001017812
IA4,0.03597122302158273,0.31654676258992803,0.025179856115107917,0.0971223021582734,0.039568345323741004,0.3489208633093525,0.025179856115107917,0.04676258992805756,0.06474820143884892,1.7112301990228131
EA3,0.014492753623188406,0.07608695652173914,0.42028985507246375,0.06159420289855073,0.018115942028985508,0.04710144927536232,0.2463768115942029,0.050724637681159424,0.06521739130434782,1.684340042993035
EA2,0.04385964912280702,0.07894736842105263,0.16228070175438594,0.04385964912280702,0.017543859649122806,0.03947368421052632,0.4868421052631579,0.05263157894736842,0.07456140350877193,1.667310918856044
IA3,0.022222222222222227,0.4266666666666667,0.013333333333333334,0.09333333333333334,0.017777777777777778,0.18666666666666668,0.02666666666666667,0.06222222222222223,0.1511111111111111,1.6668722125129027
AO1,0.013513513513513514,0.1126126126126126,0.054054054054054064,0.4864864864864865,0.022522522522522518,0.07207207207207207,0.027027027027027032,0.12162162162162166,0.09009009009009007,1.6580008431283466
IA2,0.03982300884955752,0.2079646017699115,0.02212389380530973,0.03982300884955752,0.06194690265486725,0.4646017699115044,0.02212389380530973,0.07079646017699115,0.07079646017699115,1.655327754628072
II3,0.031111111111111114,0.27111111111111114,0.031111111111111114,0.09333333333333334,0.0,0.15555555555555556,0.013333333333333334,0.048888888888888885,0.3555555555555556,1.6533758831539105
AO4,0.03056768558951965,0.13100436681222707,0.034934497816593885,0.4497816593886463,0.008733624454148471,0.13973799126637554,0.004366812227074236,0.12663755458515286,0.07423580786026203,1.644307332010058
AA2,0.2631578947368421,0.06578947368421052,0.02192982456140351,0.04824561403508772,0.4429824561403509,0.06140350877192983,0.030701754385964914,0.02192982456140351,0.04385964912280702,1.6202497927093058
II1,0.008849557522123894,0.415929203539823,0.030973451327433624,0.08849557522123894,0.0,0.12831858407079647,0.017699115044247787,0.08407079646017701,0.2256637168141593,1.6078968364574295
AE1,0.04035874439461883,0.044843049327354265,0.5067264573991032,0.04932735426008968,0.022421524663677132,0.05381165919282512,0.18834080717488788,0.035874439461883414,0.05829596412556054,1.6035815878313762
AI1,0.035398230088495575,0.5132743362831859,0.035398230088495575,0.06637168141592921,0.02654867256637168,0.17256637168141592,0.01327433628318584,0.06637168141592921,0.07079646017699115,1.5832971660663242
AI2,0.04301075268817205,0.21863799283154126,0.010752688172043013,0.08960573476702509,0.03225806451612903,0.4838709677419355,0.007168458781362006,0.06093189964157706,0.053763440860215055,1.5577038660093225
AI4,0.034934497816593885,0.445414847161572,0.021834061135371174,0.06986899563318777,0.039301310043668124,0.27510917030567683,0.0,0.06550218340611354,0.0480349344978166,1.5534535390020603
IA1,0.036036036036036036,0.5630630630630631,0.040540540540540536,0.0990990990990991,0.022522522522522518,0.14414414414414414,0.027027027027027032,0.040540540540540536,0.027027027027027032,1.4919585623017408
AA1,0.5920577617328521,0.10108303249097472,0.02888086642599278,0.04693140794223827,0.10830324909747292,0.02888086642599278,0.021660649819494584,0.02527075812274368,0.04693140794223827,1.4505611245354548
